Circonscription;Resultats
"8701";36.94, UG - 32.83, RN - 26.99, ENS;Triangulaire
"8702";36.86, RN - 36.83, UG - 24.45, ENS;Triangulaire
"8703";35.18, UG - 34.85, RN - 26.65, DVC;Triangulaire
"8801";42.85, DVD - 38.17, RN;Duel
"8802";48.16, RN - 30.84, ENS;Duel
"8803";48.33, DVD - 33.43, RN;Duel
"8804";48.02, RN - 31.91, LR;Duel
"8901";40.40, RN - 25.34, UG;Duel
"8902";44.51, UXD - 29.33, ENS - 19.50, UG;Triangulaire
"8903";50.44, RN;Elu
"9001";39.73, RN - 23.99, LR - 22.59, UG;Triangulaire
"9002";37.86, RN - 28.02, UG;Duel
"9101";46.07, UG - 27.74, DIV - 22.34, RN;Triangulaire
"9102";40.30, RN - 26.54, UG - 22.09, ENS;Triangulaire
"9103";33.01, RN - 30.91, UG - 29.90, ENS;Triangulaire
"9104";33.91, ENS - 31.03, UXD - 30.83, UG;Triangulaire
"9105";37.93, UG - 32.48, ENS;Duel
"9106";34.44, UG - 25.23, DVG - 20.81, RN;Triangulaire
"9107";40.83, UG - 30.07, ENS - 25.07, RN;Triangulaire
"9108";34.37, UG - 32.96, DSV - 27.38, DVD;Triangulaire
"9109";37.60, UG - 30.12, RN - 27.11, ENS;Triangulaire
"9110";43.01, UG - 25.91, RN;Duel
"9201";64.83, UG;Elu
"9202";41.59, LR - 39.53, UG;Duel
"9203";52.09, LR;Elu
"9204";49.13, UG - 29.62, ENS;Duel
"9205";36.54, UG - 31.62, ENS;Duel
"9206";40.14, ENS - 19.90, LR - 19.26, UG;Triangulaire
"9207";53.20, ENS;Elu
"9208";39.91, ENS - 30.30, UG;Duel
"9209";46.07, ENS - 21.39, UG;Duel
"9210";43.85, ENS - 35.53, UG;Duel
"9211";50.14, UG;Elu
"9212";39.43, LR - 38.32, UG;Duel
"9213";39.18, ENS - 37.77, UG;Duel
"9301";65.28, UG;Elu
"9302";71.80, UG;Elu
"9303";41.68, UG - 21.28, RN;Duel
"9304";44.52, UG - 23.90, FI;Duel
"9305";33.10, UG - 24.56, UDI - 23.65, DVG;Triangulaire
"9306";71.68, UG;Elu
"9307";40.19, DVG - 36.39, UG;Duel
"9308";49.30, UG - 23.86, RN;Duel
"9309";63.19, UG;Elu
"9310";52.60, UG;Elu
"9311";62.65, UG;Elu
"9312";45.11, UG - 26.04, RN;Duel
"9401";33.03, UG - 27.97, DVD - 18.57, ENS - 18.36, RN;Duel
"9402";55.00, UG;Elu
"9403";42.17, UG - 27.31, UXD - 23.77, ENS;Triangulaire
"9404";33.02, UG - 30.58, ENS - 26.95, RN;Triangulaire
"9405";38.52, ENS - 37.27, UG - 20.40, RN;Triangulaire
"9406";40.63, UG - 37.38, ENS;Duel
"9407";43.65, UG - 34.64, LR;Duel
"9408";44.13, LR - 36.88, UG;Duel
"9409";58.09, UG;Elu
"9410";59.27, UG;Elu
"9411";57.36, UG;Elu
"9501";33.65, RN - 30.80, UG - 25.46, ENS;Triangulaire
"9502";33.47, UG - 30.21, RN - 25.35, ENS;Triangulaire
"9503";35.63, UG - 27.59, RN - 23.52, ENS;Triangulaire
"9504";34.65, UG - 27.89, ENS - 26.22, UXD;Triangulaire
"9505";56.01, UG;Elu
"9506";37.63, UG - 25.78, ENS - 22.07, RN;Triangulaire
"9507";37.94, UG - 27.25, RN - 23.13, ENS;Triangulaire
"9508";58.27, UG;Elu
"9509";40.73, UG - 30.56, RN;Duel
"9510";43.13, UG - 22.78, RN;Duel
"97101";51.40, DVG - 12.65, DVG;Duel
"97102";41.33, DVG - 17.30, RN;Duel
"97103";36.21, DVG - 25.90, RN;Duel
"97104";57.90, SOC - 21.86, DVC;Duel
"97201";56.56, REG - 13.42, REG;Duel
"97202";48.31, REG - 27.06, DVD;Duel
"97203";37.28, DVG - 25.26, SOC;Duel
"97204";63.18, REG - 9.88, RN;Duel
"97301";62.78, REG - 16.10, DVD;Duel
"97302";60.21, REG - 25.49, DVC;Duel
"97401";46.25, UG - 27.60, RN;Duel
"97402";47.72, UG - 21.31, RN;Duel
"97403";31.56, RN - 23.80, DVG;Duel
"97404";42.28, DVG - 27.57, RN;Duel
"97405";33.18, DVG - 30.07, RN;Duel
"97406";29.76, DVG - 26.93, RN;Duel
"97407";29.55, UG - 25.57, RN;Duel
"97501";43.09, DVD - 16.89, SOC;Duel
"97601";79.48, DVD;Elu
"97602";35.42, RN - 27.80, LR;Duel
"98601";62.25, ENS;Elu
"98701";53.85, DVD;Elu
"98702";49.09, DVD - 42.19, REG;Duel
"98703";42.71, REG - 41.08, DVD;Duel
"98801";39.81, DVD - 36.34, REG;Duel
"98802";44.06, REG - 36.18, DVD;Duel
"ZX01";41.44, DVC - 19.92, DVD;Duel
"ZZ01";38.84, ENS - 36.12, UG;Duel
"ZZ02";36.16, UG - 33.49, ENS;Duel
"ZZ03";39.22, UG - 39.13, ENS;Duel
"ZZ04";37.45, UG - 35.46, ENS;Duel
"ZZ05";33.68, DVC - 26.18, UG;Duel
"ZZ06";40.54, ENS - 30.81, UG;Duel
"ZZ07";37.78, ENS - 32.58, UG;Duel
"ZZ08";35.58, LR - 24.18, ENS;Duel
"ZZ09";51.57, UG - 15.70, ENS;Duel
"ZZ10";32.52, UG - 31.82, ENS;Duel
"ZZ11";39.94, ENS - 29.78, UG;Duel
